name,receive_nobreak_won,receive_nobreak_faced,serve_nobreak_won,serve_nobreak_faced,receive_break_won,receive_break_faced,serve_break_won,serve_break_faced,serve_nobreak_pct,serve_break_pct,receive_nobreak_pct,receive_break_pct,serve_choke_pct,receive_choke_pct,choke_pct
I Marchenko,357,1075,602,1007,25,65,51,101,0.6016260162601627,0.5522388059701493,0.334468085106383,0.3939393939393939,0.02938721029001336,-0.019471308833010938,0.004957950728501212
S Bubka,28,88,42,68,1,2,2,7,0.6309523809523809,0.5794392523364486,0.3404255319148936,0.4019607843137255,0.031513128615932376,-0.021535252398831896,0.00498893810855024
G Garcia-Lopez,1559,4316,2676,4307,147,366,247,419,0.6217381438620376,0.5915221579961464,0.36118659420289856,0.4012875536480687,0.010215985865891248,-0.00010095944517011374,0.005057513210360567
A Mannarino,2075,5867,3570,5814,219,521,340,613,0.6144741291849848,0.5610098176718092,0.3537791184850008,0.4170692431561997,0.03346431151317554,-0.023290124671198877,0.005087093420988332
D Udomchoke,42,124,71,123,5,11,3,13,0.6053811659192825,0.5575221238938053,0.3482142857142857,0.40540540540540543,0.027859042025477194,-0.01719111969111973,0.005333961167178733
J Sock,1975,5693,3759,5776,201,512,298,484,0.6506126616746086,0.613013698630137,0.34714310374590024,0.3937908496732026,0.017598963044471633,-0.006647745927302363,0.005475608558584635
J Zopp,264,892,565,903,18,54,40,78,0.6271186440677966,0.5617977528089888,0.3024193548387097,0.37662337662337664,0.0453208912588078,-0.03420402178466695,0.005558434737070423
M Klizan,1114,3165,1939,3247,103,285,211,361,0.5984463698834778,0.5878524945770065,0.35222052067381315,0.37142857142857144,-0.009406124693528733,0.020791949245241713,0.00569291227585649
G Pella,1411,4075,2563,4067,125,334,262,432,0.6304295656347492,0.6052631578947368,0.34658682634730537,0.38018433179723504,0.0051664077400123305,0.006402494550070324,0.005784451145041327
D Sela,896,2558,1481,2491,81,211,175,315,0.5962948668467773,0.5662650602409639,0.3506395786305493,0.3890675241157556,0.010029806605813447,0.0015720545147936624,0.005800930560303555
J Baker,43,125,62,98,0,5,7,9,0.6363636363636364,0.6146788990825688,0.3511111111111111,0.38095238095238093,0.0016847372810675672,0.010158730158730166,0.005921733719898866
J Janowicz,1356,3980,2595,4012,114,328,218,337,0.6466439688715954,0.6361556064073226,0.3411764705882353,0.3598130841121495,-0.00951163753572724,0.021363386476085787,0.005925874470179273
S Stakhovsky,1017,3037,1934,3128,93,242,185,327,0.6189591078066915,0.5737704918032787,0.33567102327064074,0.3888888888888889,0.02518861600341284,-0.01321786561824815,0.005985375192582345
D Gremelmayr,31,90,41,72,1,10,7,12,0.6104651162790697,0.5982142857142857,0.3526315789473684,0.37272727272727274,-0.007749169435215957,0.019904306220095667,0.006077568392439855
A Ramos-Vinolas,1673,4722,2916,4702,166,436,290,485,0.6205747605164514,0.5982905982905983,0.354417254251348,0.3843283582089552,0.0022841622258531653,0.01008889604239279,0.006186529134122978
F Mayer,846,2530,1560,2567,71,222,176,289,0.6089238845144357,0.6066838046272494,0.33536121673003805,0.3447204968944099,-0.01775992011281367,0.030640719835628126,0.006440399861407228
D Wu,115,310,172,301,8,28,23,41,0.5885286783042394,0.5886524822695035,0.36829268292682926,0.375,-0.020123803965264125,0.03329268292682926,0.006584439480782569
T Haas,966,2609,1708,2650,103,254,157,252,0.6443636363636364,0.6164772727272727,0.3698781838316722,0.403954802259887,0.007886363636363653,0.005923381571785201,0.006904872604074427
Y Lu,908,2792,1648,2725,66,188,175,312,0.6060176991150442,0.5703883495145631,0.326417704011065,0.3680555555555556,0.01562934960048114,-0.0016378515444905664,0.006995749027995287
N Kyrgios,2424,7478,5161,7541,217,561,316,501,0.6838110195000654,0.6256239600665557,0.3246239113222486,0.3888048411497731,0.038187059433509654,-0.02418092982752449,0.007003064802992582
E Gulbis,1479,4317,2805,4281,133,352,235,376,0.6548733165943849,0.6197478991596639,0.3429929816617614,0.3827433628318584,0.015125417434720973,0.0002496188299030075,0.00768751813231199
D Novikov,115,347,234,370,9,35,19,29,0.6340425531914894,0.6124031007751938,0.3378076062639821,0.362962962962963,0.0016394524162956121,0.01484464330101911,0.008242047858657361
