player1_new,count,p1_choke_pct,opp_choke_adj
M Fucsovics,8630,0.03727056027980347,0.009272273540902654
J Munar,3837,0.016395520037081567,0.009314455132292041
J Wilfried Tsonga,25135,-0.00503824091823093,0.009356583925744788
K Khachanov,13306,-0.012146893166713071,0.009405106849011058
N Djokovic,52228,0.015178305059488842,0.009417601615556093
F Tiafoe,9256,0.004703860720429231,0.009631025599523547
A Ramos-Vinolas,10345,0.006548331949603346,0.00970652825284946
R Haase,9015,0.014971814879927062,0.009795273912429287
F Krajinovic,6496,0.009518853447874093,0.00980937179443046
D Shapovalov,9461,-0.009912298286381828,0.009872948216643043
T Sandgren,7351,-0.0015342848710679677,0.009955856356532468
B Coric,8680,0.0011291138879131303,0.009987047369441828
P Carreno Busta,14255,0.0022676109165583884,0.010007284925251216
P Mathieu,4786,0.022863366656012154,0.010033528533888654
P Martinez,3666,-0.013379643988891238,0.010150522843187001
C Norrie,5872,-0.0019150889355932167,0.010310901422838602
D Kudla,7137,-0.0006261987963933304,0.010338489768140923
S Bolelli,5777,0.013792859282955159,0.010422577712780436
M Granollers,8345,0.013260268084535943,0.010470331164173516
R Harrison,7566,-0.0056865231782975405,0.010496065700503293
J Chardy,15423,0.022593151587711302,0.010520075989166114
G Barrere,3686,0.030574081615158576,0.010655734828666837
A Karatsev,2512,0.02079158805658475,0.010677331189770854
J Benneteau,10560,-0.004092012102146947,0.010694306935570596
D Goffin,18502,0.024911187241825502,0.010769178139560038
S Darcis,4542,-0.007772974822808866,0.010785988159488927
I Karlovic,11759,-0.011316074704945488,0.010792764919883971
S Robert,4002,0.012708555904445267,0.010861999526300271
H Chung,5067,-0.012041446412279316,0.01089807166186647
M Copil,3445,0.008565328548919934,0.010972596681228691
L Sonego,4445,0.011714653185092901,0.01106707588993103
C Ruud,5749,0.009632282390278503,0.011176081741457681
A Seppi,17542,0.008636253017430389,0.011303948486444547
A Popyrin,5103,-0.0030166858150961783,0.011360211623464553
J Duckworth,8127,-0.024821455183828826,0.011419925424402616
A De Minaur,6518,-0.0017432950089741144,0.011527006497102485
