player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name,,,
100285,Rod,Frawley,R,19520908,AUS,185,Q3438080,R Frawley,,,
100286,Harold,Solomon,R,19520917,USA,168,Q1585949,H Solomon,,,
100287,Robin,Drysdale,R,19520918,GBR,,Q3437059,R Drysdale,,,
100288,Tenny,Svensson,R,19520921,SWE,,Q18085229,T Svensson,,,
100289,Byron,Bertram,R,19521029,RSA,,Q1565274,B Bertram,,,
100290,Timothy,Noonan,R,19521031,USA,,,T Noonan,,,
100291,Ian,Harris,R,19521116,USA,,,I Harris,,,
100292,Alvaro,Fillol,R,19521204,CHI,178,Q3576981,A Fillol,,,
100293,John,Marks,R,19521209,AUS,,Q3181997,J Marks,,,
100294,Rejean,Genois,R,19521230,CAN,175,Q7386114,R Genois,,,
100295,Richard,Legendre,R,19530119,CAN,,Q3430975,R Legendre,,,
100296,Chris,Gunning,R,19530207,NZL,,,C Gunning,,,
100297,Corrado,Barazzutti,R,19530219,ITA,178,Q2713814,C Barazzutti,,,
100298,George,Hardie,L,19530219,USA,,Q5540227,G Hardie,,,
100299,James Chico,Hagey,R,19530225,USA,,,J Hagey,,,
100300,Jose,Higueras,R,19530301,ESP,178,Q1348847,J Higueras,,,
100301,Jim,Delaney,R,19530312,USA,,Q6132533,J Delaney,,,
100302,Joaquim,Rasgado Jr,R,19530324,BRA,,,J Rasgado Jr,,,
100303,Henry,Bunis,R,19530327,USA,,Q22677495,H Bunis,,,
100304,Robert,Kreiss,R,19530430,USA,,Q16268937,R Kreiss,,,
100305,Mark,Farrell,R,19530506,GBR,,Q3294072,M Farrell,,,
100306,Michael,Wayman,R,19530506,GBR,,,M Wayman,,,
100307,Paul,Torre,R,19530518,FRA,180,Q13512879,P Torre,,,
100308,Robert,Trogolo,R,19530615,RSA,180,Q7350479,R Trogolo,,,
100309,Raul,Ramirez,R,19530620,MEX,183,Q972727,R Ramirez,,,
100310,Mike,Myburg,R,19530623,RSA,,Q13513068,M Myburg,,,
100311,Ulises,Quezada,R,19530714,CHI,173,,U Quezada,,,
100312,Chiraid,Mukherjea,R,19530814,IND,,,C Mukherjea,,,
100313,Keith,Richardson,R,19530818,USA,185,,K Richardson,,,
100314,Bernard,Fritz,R,19531005,FRA,173,Q2897929,B Fritz,,,
100315,Hank,Pfister,R,19531009,USA,193,Q1144091,H Pfister,,,
100316,Scott,Carnahan,R,19531024,USA,,,S Carnahan,,,
100317,Stephen,Warboys,R,19531025,GBR,,Q27680824,S Warboys,,,
100318,Roger,Guedes,R,19531103,BRA,,Q106602825,R Guedes,,,
100319,Rick,Fagel,R,19531129,USA,180,Q7331375,R Fagel,,,
100320,Mark,Meyers,R,19531205,USA,,,M Meyers,,,
100321,Vijay,Amritraj,R,19531214,IND,193,Q468309,V Amritraj,,,
100322,Emilio,Montano,R,19531218,MEX,,Q18159398,E Montano,,,
100323,Givaldo,Barbosa,R,19540125,BRA,183,Q5565585,G Barbosa,,,
100324,John,Whitlinger,R,19540204,USA,180,Q8172709,J Whitlinger,,,
100325,Ulrich,Pinner,R,19540207,GER,178,Q78176,U Pinner,,,
100326,Russell,Simpson,R,19540222,NZL,188,Q3784261,R Simpson,,,
100327,Willem,Prinsloo,L,19540225,RSA,,Q92294368,W Prinsloo,,,
100328,Rand,Evett,R,19540301,USA,,,R Evett,,,
100329,Otto,Panman,R,19540325,NED,,,O Panman,,,
100330,David,Imonitie,R,19540410,NGR,,,D Imonitie,,,
100331,Jean Louis,Haillet,R,19540507,FRA,,Q735512,J Haillet,,,
100332,Balazs,Taroczy,R,19540509,HUN,183,Q370019,B Taroczy,,,
100333,Shigeyuki,Nishio,R,19540523,JPN,,Q62513568,S Nishio,,,
100334,Ernie,Ewert,R,19540605,AUS,,Q17365472,E Ewert,,,
100335,David,Parker,R,19540607,USA,,,D Parker,,,
100336,Guillermo,Aubone,L,19540608,ARG,,Q5616118,G Aubone,,,
100337,Mark,Edmondson,R,19540624,AUS,185,Q506606,M Edmondson,,,
100338,Benjy,Robins,R,19540630,USA,175,,B Robins,,,
100339,Victor,Amaya,L,19540702,USA,201,Q1748325,V Amaya,,,
100340,Sam,Vuille,R,19540706,USA,,,S Vuille,,,
100341,Gonzalo,Nunez,R,19540721,USA,,Q107031471,G Nunez,,,
100342,Vitas,Gerulaitis,R,19540726,USA,183,Q53547,V Gerulaitis,,,
100343,John,Lloyd,R,19540827,GBR,178,Q1360272,J Lloyd,,,
100344,Eric,Friedler,R,19540908,USA,,Q24005201,E Friedler,,,
100345,Pat,Dupre,R,19540916,USA,190,Q3368536,P Dupre,,,
100346,Paul,Kronk,R,19540922,AUS,,Q3371590,P Kronk,,,
100347,Peter,Kronk,R,19540922,AUS,,,P Kronk,,,
100348,Gerard,Toulon,R,19540924,FRA,185,,G Toulon,,,
100349,Glen,Holroyd,R,19540925,USA,,Q28595312,G Holroyd,,,
100350,Franz Josef,Wich,R,19541011,GER,,,F Wich,,,
100351,Freddie,De Jesus,R,19541030,PUR,,,F De Jesus,,,
100352,John,Lucas,R,19541031,USA,,,J Lucas,,,
100353,Bruce,Kleege,R,19541101,USA,190,Q22095971,B Kleege,,,
100354,Bernard,Mitton,R,19541109,RSA,188,Q2898337,B Mitton,,,
100355,Victor,Eke,R,19541111,AUS,,Q55183442,V Eke,,,
100356,Paul,Mcnamee,R,19541112,AUS,178,Q1348791,P Mcnamee,,,
100357,Bhanu,Nunna,R,19541113,IND,,Q87786664,B Nunna,,,
100358,Mike,Fishbach,R,19541201,USA,180,Q18641540,M Fishbach,,,
100359,Richard,Lewis,L,19541206,GBR,,Q7327373,R Lewis,,,
100360,Brian,Teacher,R,19541223,USA,190,Q54683,B Teacher,,,
100361,Willie,Davies,R,19550101,GBR,,,W Davies,,,
100362,Peter,Fleming,R,19550121,USA,196,Q729789,P Fleming,,,
100363,Jiri,Granat,R,19550128,CZE,185,Q6203644,J Granat,,,
100364,Jonathan,Smith,R,19550129,GBR,188,Q6274466,J Smith,,,
100365,Peter,Holl,R,19550129,GER,,Q84072816,P Holl,,,
