,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,match_id_num,,player1_new,player2_new
70,2018-ausopen-1207,2018,ausopen,1207,P. Cuevas,R. Harrison,,,,,,,,,URU,USA,1207,,P Cuevas,R Harrison
71,2018-ausopen-1208,2018,ausopen,1208,J. Sousa,M. Cilic,,,,,,,,,POR,CRO,1208,,J Sousa,M Cilic
72,2018-ausopen-1209,2018,ausopen,1209,G. Dimitrov,M. McDonald,,,,,,,,,BUL,USA,1209,,G Dimitrov,M McDonald
73,2018-ausopen-1210,2018,ausopen,1210,M. Baghdatis,A. Rublev,,,,,,,,,CYP,RUS,1210,,M Baghdatis,A Rublev
74,2018-ausopen-1211,2018,ausopen,1211,N. Kyrgios,V. Troicki,,,,,,,,,AUS,SRB,1211,,N Kyrgios,V Troicki
75,2018-ausopen-1212,2018,ausopen,1212,D. Shapovalov,J. Wilfired Tsonga,,,,,,,,,CAN,FRA,1212,,D Shapovalov,J Wilfried Tsonga
76,2018-ausopen-1213,2018,ausopen,1213,K. Edmund,D. Istomin,,,,,,,,,GBR,UZB,1213,,K Edmund,D Istomin
77,2018-ausopen-1214,2018,ausopen,1214,N. Basilashvili,R. Bemelmans,,,,,,,,,GEO,BEL,1214,,N Basilashvili,R Bemelmans
78,2018-ausopen-1215,2018,ausopen,1215,Y. Nishioka,A. Seppi,,,,,,,,,JPN,ITA,1215,,Y Nishioka,A Seppi
79,2018-ausopen-1216,2018,ausopen,1216,I. Karlovic,Y. Sugita,,,,,,,,,CRO,JPN,1216,,I Karlovic,Y Sugita
80,2018-ausopen-1217,2018,ausopen,1217,D. Thiem,D. Kudla,,,,,,,,,AUT,USA,1217,,D Thiem,D Kudla
81,2018-ausopen-1218,2018,ausopen,1218,J. Vesely,A. Mannarino,,,,,,,,,CZE,FRA,1218,,J Vesely,A Mannarino
82,2018-ausopen-1219,2018,ausopen,1219,F. Verdasco,M. Marterer,,,,,,,,,ESP,GER,1219,,F Verdasco,M Marterer
83,2018-ausopen-1220,2018,ausopen,1220,T. Sandgren,S. Wawrinka,,,,,,,,,USA,SUI,1220,,T Sandgren,S Wawrinka
84,2018-ausopen-1221,2018,ausopen,1221,N. Djokovic,G. Monfils,,,,,,,,,SRB,FRA,1221,,N Djokovic,G Monfils
85,2018-ausopen-1222,2018,ausopen,1222,T. Smyczek,A. Ramos-Vinolas,,,,,,,,,USA,ESP,1222,,T Smyczek,A Ramos-Vinolas
86,2018-ausopen-1223,2018,ausopen,1223,H. Chung,D. Medvedev,,,,,,,,,KOR,RUS,1223,,H Chung,D Medvedev
87,2018-ausopen-1224,2018,ausopen,1224,P. Gojowczyk,A. Zverev,,,,,,,,,GER,GER,1224,,P Gojowczyk,A Zverev
88,2018-ausopen-1225,2018,ausopen,1225,D. Goffin,J. Benneteau,,,,,,,,,BEL,FRA,1225,,D Goffin,J Benneteau
89,2018-ausopen-1227,2018,ausopen,1227,T. Berdych,G. Garcia-Lopez,,,,,,,,,CZE,ESP,1227,,T Berdych,G Garcia-Lopez
90,2018-ausopen-1228,2018,ausopen,1228,K. Khachanov,J. Del Potro,,,,,,,,,RUS,ARG,1228,,K Khachanov,J Martin Del Potro
91,2018-ausopen-1229,2018,ausopen,1229,S. Querrey,M. Fucsovics,,,,,,,,,USA,HUN,1229,,S Querrey,M Fucsovics
92,2018-ausopen-1230,2018,ausopen,1230,N. Kicker,L. Lacko,,,,,,,,,ARG,SVK,1230,,N Kicker,L Lacko
93,2018-ausopen-1231,2018,ausopen,1231,R. Gasquet,L. Sonego,,,,,,,,,FRA,ITA,1231,,R Gasquet,L Sonego
94,2018-ausopen-1232,2018,ausopen,1232,J. Struff,R. Federer,,,,,,,,,GER,SUI,1232,,J Struff,R Federer
95,2018-ausopen-1301,2018,ausopen,1301,R. Nadal,D. Dzumhur,,,,,,,,,ESP,BIH,1301,,R Nadal,D Dzumhur
96,2018-ausopen-1302,2018,ausopen,1302,D. Schwartzman,A. Dolgopolov,,,,,,,,,ARG,UKR,1302,,D Schwartzman,A Dolgopolov
97,2018-ausopen-1303,2018,ausopen,1303,P. Carreno Busta,G. Muller,,,,,,,,,ESP,LUX,1303,,P Carreno Busta,G Muller
98,2018-ausopen-1304,2018,ausopen,1304,R. Harrison,M. Cilic,,,,,,,,,USA,CRO,1304,,R Harrison,M Cilic
99,2018-ausopen-1305,2018,ausopen,1305,G. Dimitrov,A. Rublev,,,,,,,,,BUL,RUS,1305,,G Dimitrov,A Rublev
100,2018-ausopen-1306,2018,ausopen,1306,N. Kyrgios,J. Wilfired Tsonga,,,,,,,,,AUS,FRA,1306,,N Kyrgios,J Wilfried Tsonga
101,2018-ausopen-1307,2018,ausopen,1307,K. Edmund,N. Basilashvili,,,,,,,,,GBR,GEO,1307,,K Edmund,N Basilashvili
